Date,Department,Item Group,Item Name,Business Group,Quantity,Sales Price,Gross Amount,Line Discount Amount,Line Discount Percent,Net Amount,Tax Amount,Invoice Amount,WeekInYear,Batch Number,Outlet Region,Country Code,Channel Name,Sales Tax Group,Customer Classification Group
12/1/2021,MASS,Food,Barilla Sauce Napoletana (400g),FOOD,6,"79,600.00","477,600.00",0,0,"477,600.00","47,760.00","525,360.00",49,20230403,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,Food,McCormick Basil Leaves  (10g),FOOD,48,"34,700.00","1,665,600.00",0,0,"1,665,600.00","166,560.00","1,832,160.00",49,20240525,South,,Modern Trade,TP-HCM,CoopXtra
12/1/2021,MASS,Food,Haagen Dazs Green Tea & Almond Bar (80ml),FOOD,12,"79,640.00","955,680.00",0,0,"955,680.00","95,568.00","1,051,248.00",49,20220824,South,,Modern Trade,TP-HCM,AGM
12/1/2021,MASS,Food,Haribo Goldbears 160g,FOOD,24,"34,300.00","823,200.00",0,0,"823,200.00","82,320.00","905,520.00",49,20221208,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,POSM,Paper bag for Pep Farm,FOOD,12,0,0,0,0,0,0,0,49,NOEXP,South,VNM,Modern Trade,TP-HCM,MyMarket
12/1/2021,MASS,Food,Ricola Original Herbs Metal Box (100g),FOOD,48,"57,000.00","2,736,000.00",0,0,"2,736,000.00","273,600.00","3,009,600.00",49,20240518,South,,Modern Trade,TP-HCM,Aeon
12/1/2021,MASS,FOOD,Alpro Oat Drink Original 1L,,16,"91,200.00","1,459,200.00",0,15,"1,240,320.00","124,032.00","1,364,352.00",49,20220509,South,BEL,Modern Trade,TP-HCM,LotteMart
12/1/2021,MASS,Food,Haribo Goldbears 80g,FOOD,11,"19,000.00","209,000.00",0,0,"209,000.00","20,900.00","229,900.00",49,20221111,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,Food,Maille Mustard Dijon (215g),FOOD,6,"59,500.00","357,000.00",0,0,"357,000.00","35,700.00","392,700.00",49,20221029,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,Barilla Sauce Basilico (400g),FOOD,6,"79,600.00","477,600.00",0,0,"477,600.00","47,760.00","525,360.00",49,20230406,South,,Modern Trade,TP-HCM,Genshai
12/1/2021,MASS,Food,Barilla Pasta Spaghetti No.5 (500g),FOOD,10,0,0,0,0,0,0,0,49,20240424,South,,Modern Trade,TP-HCM,CoopXtra
12/1/2021,MASS,FOOD,Lindt Lindor Oval Tin 144g,FOOD,42,"153,000.00","6,426,000.00",0,7,"5,976,180.00","597,618.00","6,573,798.00",49,20220705,South,CHE,General Trade,TP-HCM,MSD_South
12/1/2021,MASS,Food,"Emborg Whipped Cream, 30%, Sweetened, in spray can 250g",FOOD,12,"74,900.00","898,800.00",0,0,"898,800.00","89,880.00","988,680.00",49,20220730,South,,Modern Trade,TP-HCM,LotteMart
12/1/2021,MASS,Food,Latino Bella Extra Virgin OLIVE OIL (250ml) GREEN BOTTLE,FOOD,6,"81,500.00","489,000.00",0,0,"489,000.00","48,900.00","537,900.00",49,20240721,South,,Modern Trade,TP-HCM,Jmart
12/1/2021,MASS,BEVERAGE,Evian MAC PET 150cl,BEVERAGE,24,"51,500.00","1,236,000.00",0,0,"1,236,000.00","123,600.00","1,359,600.00",49,20230521,South,FRA,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,Haagen Dazs Macadamia Nut Minicup (100ml),FOOD,12,"57,000.00","684,000.00",0,0,"684,000.00","68,400.00","752,400.00",49,20220818,South,,General Trade,TP-HCM,GT_South
12/1/2021,MASS,Food,McCormick Hungarian Paprika (30g),FOOD,4,"52,100.00","208,400.00",0,0,"208,400.00","20,840.00","229,240.00",49,20230629,South,,General Trade,TP-HCM,GT_South
12/1/2021,MASS,Food,St Michel Biscuits Collection 270g,FOOD,24,"106,000.00","2,544,000.00",0,15,"2,162,400.00","216,240.00","2,378,640.00",49,20220703,South,FRA,Modern Trade,TP-HCM,Coopmart
12/1/2021,MASS,BEVERAGE,Perrier water btl 33cl,BEVERAGE,24,"29,500.00","708,000.00",0,20,"566,400.00","56,640.00","623,040.00",49,20240210,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,Barilla Pasta Spaghetti No.5 (500g),FOOD,3,0,0,0,0,0,0,0,49,20240424,South,,Modern Trade,TP-HCM,CoopFood
12/1/2021,MASS,Food,Barilla Sauce Napoletana (400g),FOOD,6,"79,600.00","477,600.00",0,0,"477,600.00","47,760.00","525,360.00",49,20230403,South,,Modern Trade,TP-HCM,BigC
12/1/2021,MASS,Food,Haribo Happy Cola 160g,FOOD,3,"34,300.00","102,900.00",0,0,"102,900.00","10,290.00","113,190.00",49,20221009,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,Food,Haribo Starmix 160g,FOOD,2,"34,300.00","68,600.00",0,0,"68,600.00","6,860.00","75,460.00",49,20221030,South,,Modern Trade,TP-HCM,Vinmart
12/1/2021,MASS,Food,Barilla Pasta Angel Hair – 500g,FOOD,48,"47,000.00","2,256,000.00",0,0,"2,256,000.00","225,600.00","2,481,600.00",49,20240127,South,,Modern Trade,TP-HCM,Aeon
